YEAR,STATENAME,tax_property_hh,tax_property_business,tax_consumption_hh,tax_consumption_business,tax_income_total,tax_property_total,tax_consumption_total,state_population,tax_property_hh_pc,tax_property_business_pc,tax_consumption_hh_pc,tax_consumption_business_pc,tax_income_total_pc,tax_property_total_pc,tax_consumption_total_pc
2010,West Virginia,349779000,1100000000,872995000,1000000000,1521895000,1449779000,1872995000,1853973,189,593,471,539,821,782,1010
2010,Wisconsin,5530053000,4500000000,3552376000,2800000000,5791991000,10030053000,6352376000,5691047,972,791,624,492,1018,1762,1116
2010,Wyoming,280506000,1200000000,485651000,600000000,0,1480506000,1085651000,564460,497,2126,860,1063,0,2623,1923
2010,United States Total,194447292000,249500000000,178132164000,200100000000,261510473000,443947292000,378232164000,309349689,629,807,576,647,845,1435,1223
2011,Alabama,779837000,1800000000,2835789000,3000000000,2905023000,2579837000,5835789000,4798834,163,375,591,625,605,538,1216
2011,Alaska,647001000,800000000,416755000,100000000,0,1447001000,516755000,722038,896,1108,577,138,0,2004,716
2011,Arizona,2095486000,4900000000,5644403000,4000000000,2863658000,6995486000,9644403000,6473497,324,757,872,618,442,1081,1490
2011,Arkansas,919139000,900000000,2866361000,1700000000,2270383000,1819139000,4566361000,2940407,313,306,975,578,772,619,1553
2011,California,23813875000,29800000000,24870545000,28800000000,50508441000,53613875000,53670545000,37641823,633,792,661,765,1342,1424,1426
2011,Colorado,2428434000,4500000000,3048115000,3300000000,4540586000,6928434000,6348115000,5121771,474,879,595,644,887,1353,1239
2011,Connecticut,7138137000,2300000000,2004793000,2500000000,6469246000,9438137000,4504793000,3588023,1989,641,559,697,1803,2630,1256
2011,Delaware,405042000,300000000,123921000,200000000,1014053000,705042000,323921000,907316,446,331,137,220,1118,777,357
2011,District of Columbia,67765000,1700000000,595502000,700000000,1296598000,1767765000,1295502000,619602,109,2744,961,1130,2093,2853,2091
2011,Florida,5413654000,20500000000,14179977000,15200000000,0,25913654000,29379977000,19093352,284,1074,743,796,0,1357,1539
2011,Georgia,4204388000,6300000000,4984133000,5500000000,7658782000,10504388000,10484133000,9801578,429,643,509,561,781,1072,1070
2011,Hawaii,324771000,1000000000,1858711000,1400000000,1247291000,1324771000,3258711000,1379252,235,725,1348,1015,904,960,2363
2011,Idaho,595208000,800000000,1009446000,500000000,1169247000,1395208000,1509446000,1583828,376,505,637,316,738,881,953
2011,Illinois,11813651000,12700000000,5927273000,8600000000,11717504000,24513651000,14527273000,12867291,918,987,461,668,911,1905,1129
2011,Indiana,1062931000,5300000000,5117330000,2700000000,6176580000,6362931000,7817330000,6516045,163,813,785,414,948,977,1200
2011,Iowa,1636414000,2800000000,2261789000,1500000000,2943530000,4436414000,3761789000,3066054,534,913,738,489,960,1447,1227
2011,Kansas,1323262000,2600000000,2144472000,2000000000,2692626000,3923262000,4144472000,2869035,461,906,747,697,939,1367,1445
2011,Kentucky,1066329000,2000000000,1810786000,2600000000,4519293000,3066329000,4410786000,4369488,244,458,414,595,1034,702,1009
2011,Louisiana,1083836000,2500000000,2314805000,5300000000,2403956000,3583836000,7614805000,4575184,237,546,506,1158,525,783,1664
2011,Maine,675475000,1700000000,751023000,700000000,1420982000,2375475000,1451023000,1328150,509,1280,565,527,1070,1789,1093
2011,Maryland,6211721000,2300000000,2317480000,3400000000,10519103000,8511721000,5717480000,5838991,1064,394,397,582,1802,1458,979
2011,Massachusetts,7086932000,6200000000,3456503000,2800000000,11597152000,13286932000,6256503000,6613149,1072,938,523,423,1754,2009,946
2011,Michigan,7241709000,6400000000,7523266000,4300000000,6825555000,13641709000,11823266000,9881521,733,648,761,435,691,1381,1197
2011,Minnesota,4383815000,3800000000,2414476000,3800000000,7482396000,8183815000,6214476000,5345668,820,711,452,711,1400,1531,1163
2011,Mississippi,588587000,2000000000,1948875000,1700000000,1397578000,2588587000,3648875000,2978470,198,671,654,571,469,869,1225
2011,Missouri,2367934000,3400000000,3060746000,3300000000,4837194000,5767934000,6360746000,6009641,394,566,509,549,805,960,1058
2011,Montana,573080000,800000000,170718000,200000000,812629000,1373080000,370718000,997221,575,802,171,201,815,1377,372
2011,Nebraska,1296797000,1700000000,1060507000,1300000000,1721548000,2996797000,2360507000,1840538,705,924,576,706,935,1628,1283
2011,Nevada,1056513000,2000000000,1837518000,2200000000,0,3056513000,4037518000,2712799,389,737,677,811,0,1127,1488
2011,New Hampshire,2163181000,1200000000,87622000,400000000,75664000,3363181000,487622000,1319815,1639,909,66,303,57,2548,369
2011,New Jersey,15990467000,9600000000,5380035000,5200000000,10617034000,25590467000,10580035000,8827783,1811,1087,609,589,1203,2899,1198
2011,New Mexico,695345000,700000000,1345458000,1900000000,1096922000,1395345000,3245458000,2080395,334,336,647,913,527,671,1560
2011,New York,22946662000,22800000000,10243879000,19200000000,44525008000,45746662000,29443879000,19498514,1177,1169,525,985,2284,2346,1510
2011,North Carolina,5150293000,3800000000,5997007000,5000000000,9869492000,8950293000,10997007000,9656754,533,394,621,518,1022,927,1139
2011,North Dakota,170346000,600000000,554012000,600000000,433116000,770346000,1154012000,685136,249,876,809,876,632,1124,1684
2011,Ohio,6352951000,7000000000,6807485000,6700000000,13219230000,13352951000,13507485000,11543463,550,606,590,580,1145,1157,1170
2011,Oklahoma,757869000,1500000000,2635750000,2400000000,2385413000,2257869000,5035750000,3787821,200,396,696,634,630,596,1329
2011,Oregon,2819150000,2300000000,350735000,700000000,5493776000,5119150000,1050735000,3871728,728,594,91,181,1419,1322,271
2011,Pennsylvania,7937751000,8800000000,7418060000,7000000000,13963852000,16737751000,14418060000,12744583,623,690,582,549,1096,1313,1131
2011,Rhode Island,1184913000,1100000000,487946000,700000000,1025584000,2284913000,1187946000,1053536,1125,1044,463,664,973,2169,1128
2011,South Carolina,1405415000,3400000000,2273253000,1700000000,2907731000,4805415000,3973253000,4671422,301,728,487,364,622,1029,851
2011,South Dakota,378122000,600000000,527644000,800000000,0,978122000,1327644000,823484,459,729,641,971,0,1188,1612
2011,Tennessee,2152485000,3000000000,5587525000,4100000000,189518000,5152485000,9687525000,6397410,336,469,873,641,30,805,1514
2011,Texas,15011473000,25000000000,13780157000,20900000000,0,40011473000,34680157000,25646227,585,975,537,815,0,1560,1352
2011,Utah,1092217000,1600000000,1870918000,1300000000,2298220000,2692217000,3170918000,2814216,388,569,665,462,817,957,1127
